"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_012 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de naissance (rico:birthDate)","Date de décès (rico:deathDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_012-d699mu3kjpo--pjcabdidayt7","d699mu3kjpo--pjcabdidayt7","Person","Rossinot, André (1939-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu419hc-tzgkh1xa07zd","d699mu419hc-tzgkh1xa07zd","Person","Rostaing, Tristan de (1513-1591)",,,,,,,,,
"agent/FRAN_RI_012-d699mu30num-s3dqek8e9lcv","d699mu30num-s3dqek8e9lcv","Person","Rothschild, James de (1792-1868)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1swpp--92dbzkhbtyx9","d699mu1swpp--92dbzkhbtyx9","Person","Rotrou, Jean de (1609-1650)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0kqiu-ztzmjj1uj4iz","d699mu0kqiu-ztzmjj1uj4iz","Person","Roudy, Yvette (1929-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzb8ea--p6808l34gxrh","d699mtzb8ea--p6808l34gxrh","Person","Rouher, Eugène (1814-1884)",,,,,,,,"050405",
"agent/FRAN_RI_012-d-cg4wx4knd-1nv1gqv35j682","d-cg4wx4knd-1nv1gqv35j682","Person","Rouillé, Antoine Louis (1689-1761)",,"1689-06-07","1761-09-20","Comte de Jouy, secrétaire d'Etat à la Marine de 1759 à 1754, entre à l'Académie des Sciences en 1751.",,,,,
"agent/FRAN_RI_012-d-4lsmrhenx--ztom6iyyx1lf","d-4lsmrhenx--ztom6iyyx1lf","Person","Rouillé, Antoine Louis (7 juin 1689-20 septembre 1761, ministre de la Marine et des Affaires étrangères)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3feb5-kq8fi5hhmrby","d699mu3feb5-kq8fi5hhmrby","Person","Roujault, Anne Elisabeth (1692 ?-1734)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzs6hg--15q8ccn362td2","d699mtzs6hg--15q8ccn362td2","Person","Roussel de Courcy, Michel François (1729-1791)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3z8l6--1gb6nu0gn8nm5","d699mu3z8l6--1gb6nu0gn8nm5","Person","Rouville, Jacques de (15.. ?-1628)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzvwdy-1j3vwbr9sedpp","d699mtzvwdy-1j3vwbr9sedpp","Person","Rouville, Louise de (1622-1703)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwyyv8--1da26air6mzfd","d-dv4qwyyv8--1da26air6mzfd","Person","Roux",,,,"Architecte de la ville de Tours. A œuvré à la restauration de la cathédrale de Tours.",,,,,
"agent/FRAN_RI_012-d699mu4ks9s-18kiilbwva9s6","d699mu4ks9s-18kiilbwva9s6","Person","Rouxel de Grancey, Jacques (1603-1680)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6c5d8-1mlmfiehum45z","d699mu6c5d8-1mlmfiehum45z","Person","Rouxel de Médavy de Grancey, Marie Françoise Elisabeth (1672 ?-1760)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwz4wj--ahwcm09pxm8y","d-dv4qwz4wj--ahwcm09pxm8y","Person","Roy, Lucien (1850-1941)",,"1850-04-09","1941-05-13","Né le 04/09/1850 à Nantes. Décédé en 13/05/1941. Architecte des monuments historiques. A œuvré à la restauration de la cathédrale de Limoges.",,"Q26250453",,,
"agent/FRAN_RI_012-d699mu5gz1k-15fgeeurvh6gi","d699mu5gz1k-15fgeeurvh6gi","Person","Royal, Ségolène (1953-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4v49m-137m1xx9ecfeg","d699mu4v49m-137m1xx9ecfeg","Person","Royer, Jean (1920-2011)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6lg4g--1mtwhdzv1sjua","d699mu6lg4g--1mtwhdzv1sjua","Person","Royer, Paul de (1808-1877)","Royer, Paul-Henri-Ernest de (1808-1877)",,,,,,,,
"agent/FRAN_RI_012-d-ndlc2wql3k-1cnsgwkvzlr9c","d-ndlc2wql3k-1cnsgwkvzlr9c","Person","Ruelle, Jean-François-Henry",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwzbbe-mf6wpfos70tf","d-dv4qwzbbe-mf6wpfos70tf","Person","Ruprich-Robert, Gabriel Eugène Marie (1859-1953)",,"1859-05-10","1953-03-30","Né le 05/10/1859 à ancien 11e arrondissement de Paris. Décédé le 30/03/1953 à 6e arrondissement de Paris. Architecte, inspecteur des travaux diocésains. A œuvré à la restauration de la cathédrale de Reims.",,"Q3093942","https://fr.wikipedia.org/wiki/Gabriel_Ruprich-Robert",,
"agent/FRAN_RI_012-d-dv4qwzg7x-11d22h0pidmr1","d-dv4qwzg7x-11d22h0pidmr1","Person","Ruprich-Robert, Victor Marie Charles (1820-1887)",,"1820-02-18","1887-07-05","Né le 18/02/1820 à Paris. Décédé le 07/05/1887 à Cannes. Architecte diocésain. A œuvré à la restauration des cathédrales de Bayeux, Paris, Sées, Albi, Nevers, Reims.",,"Q3557557","https://fr.wikipedia.org/wiki/Victor_Ruprich-Robert",,"https://data.bnf.fr/ark:/12148/cb11923132w#about"
"agent/FRAN_RI_012-d699mu6eg5y-w375kacnz2nx","d699mu6eg5y-w375kacnz2nx","Person","Rutowska, Marie Aurore (1706 ?-1746 ? , comtesse de)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwzlvn-ughnmus0jtip","d-dv4qwzlvn-ughnmus0jtip","Person","Sabatier, Victor (1825-1891)",,"1825-05-17","1891-09-03","Né le 17/05/1825 à Agen. Décédé le 09/03/1891 à Nice. Architecte diocésain. A œuvré à la restauration de la cathédrale de Nice.",,"Q21561675",,,
"agent/FRAN_RI_012-d699mtzwvn9--16gzn5dfna17j","d699mtzwvn9--16gzn5dfna17j","Person","Sablé, Madeleine de Souvré (1598-1678 , marquise de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu17a99--reyn48baz7c8","d699mu17a99--reyn48baz7c8","Person","Sabran, Joseph de (1702-1775)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3sz68-c3w05229m9fc","d699mu3sz68-c3w05229m9fc","Person","Sade, Donatien Alphonse François de (1740-1814)","Sade, Marquis de (1740-1814)",,,,,,,,
"agent/FRAN_RI_012-d699mtzy2ts-ehi2vlm0bqal","d699mtzy2ts-ehi2vlm0bqal","Person","Sagnard, Joseph Aymé de (1726-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0yald--pqfmdt87tsd2","d699mu0yald--pqfmdt87tsd2","Person","Sainfray, Charles (16..-1699)",,,,,,,,"010522",
"agent/FRAN_RI_012-d699mu4in0q-oqwisvsbtblg","d699mu4in0q-oqwisvsbtblg","Person","Sainfray, Jean Joseph (16..-1741)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3irxj-1hlt1kvgwmyzc","d699mu3irxj-1hlt1kvgwmyzc","Person","Saint-Aignan, François Honorat de Beauvilliers (1610-1687 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4af36-1sejmhi9udqst","d699mu4af36-1sejmhi9udqst","Person","Saint-Aignan, Paul François de Beauvilliers (1710-1742 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4wkyf-1errruqwn6i1t","d699mu4wkyf-1errruqwn6i1t","Person","Saint-Amant, Marc Antoine Girard (1594-1661 , sieur de)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzvp98-ojrl9go9tos0","d699mtzvp98-ojrl9go9tos0","Person","Saint-Delis, Henri Robert de (1635-1675)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1ip2r-liscpnl684uy","d699mu1ip2r-liscpnl684uy","Person","Sainte-Beuve, Charles Augustin (1804-1869)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3514j-1244j1kgn2nv7","d699mu3514j-1244j1kgn2nv7","Person","Sainte-Maure, Charles de (1610-1690)",,,,,,,,,
"agent/FRAN_RI_012-d699mu444hf-1cpregcoyn1eb","d699mu444hf-1cpregcoyn1eb","Person","Saint-Florentin, Louis Phélypeaux de La Vrillière (1705-1777 , comte de)",,,,,,,,"052553",
"agent/FRAN_RI_012-d-dv4qwzvoq-t1f14obkgekt","d-dv4qwzvoq-t1f14obkgekt","Person","Saint-Père, Charles Félix (1804-1895)",,"1804-01-01","1895-01-01","Né en 1804 à Dijon. Décédé en 1895. Architecte. A œuvré à la restauration de la cathédrale de Dijon.",,,,,
"agent/FRAN_RI_012-d-byzonrfz9-vm3tpkzry3ea","d-byzonrfz9-vm3tpkzry3ea","Person","Saint-Saëns, Camille (1835-1921)",,"1835-10-09","1921-12-16","Compositeur de musique.",,,,,
"agent/FRAN_RI_012-d699mu0t6rw--pslrb9ffvxzq","d699mu0t6rw--pslrb9ffvxzq","Person","Saint-Sernin, Frédéric de (1958-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4e7rh-g0ozrp3npoju","d699mu4e7rh-g0ozrp3npoju","Person","Saint-Simon, Claude de Rouvroy (1606-1693 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu02zwt--11jstpirvalhm","d699mu02zwt--11jstpirvalhm","Person","Saint-Simon, Louis de Rouvroy (1675-1755 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3viop--brsrpg2k31qh","d699mu3viop--brsrpg2k31qh","Person","Saint-Simon-Courtomer, Claude Antoine de (1653 ?-1705)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3jmfp--14ruolr8rsgou","d699mu3jmfp--14ruolr8rsgou","Person","Saint-Vaast, Charles François de (15..-1667 ?)",,,,,,,,"010533",
"agent/FRAN_RI_012-d699mu1ma83--1xqse4k5zz3pt","d699mu1ma83--1xqse4k5zz3pt","Person","Sakharov, Andrei Dimitrievitch (1921-1989)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzaeae-qkru3awpzyo6","d699mtzaeae-qkru3awpzyo6","Person","Salan, Raoul (1899-1984)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2s77a-17rhk76fzkjax","d699mu2s77a-17rhk76fzkjax","Person","Salignac de La Mothe Fénelon, François de (1651-1715)",,,,,,,,,
"agent/FRAN_RI_012-d699mu39au4-19csy5o9xh2zd","d699mu39au4-19csy5o9xh2zd","Person","Salm, Charles Théodore Otto (1645-1710 , prince de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0dvbh-o0tunty1kitl","d699mu0dvbh-o0tunty1kitl","Person","Salviac de Vielcastel, Edouard Charles Honoré de (1838-1882)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx04qn--svpnoq9g285w","d-dv4qx04qn--svpnoq9g285w","Person","Sandret, Jehan (1859-....)",,"1859-11-07",,"Né le 11/07/1859 à Rotterdam. Architecte du département et inspecteur des travaux diocésains. A œuvré à la restauration de la cathédrale de Sées.",,"Q26202632",,,
"agent/FRAN_RI_012-d-41hnnzcj10w--1oh5rqgcm0s7a","d-41hnnzcj10w--1oh5rqgcm0s7a","Person","Sandrin, Antoine Gabriel",,,,,,,,,
"agent/FRAN_RI_012-d699mu2fda1--pf6p5madnb66","d699mu2fda1--pf6p5madnb66","Person","Sanguin de Livry, François Hippolyte de (1715-1789)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4n7fd-1bdissllmuta4","d699mu4n7fd-1bdissllmuta4","Person","Sanguin de Meudon, Antoine (1502-1559)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn4hlmd-1ur59f8m5enr9","d3m0bn4hlmd-1ur59f8m5enr9","Person","Sanson, Nicolas (1600-1667)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1nhem--1bvtyfzcfqsqq","d699mu1nhem--1bvtyfzcfqsqq","Person","Sapin, Michel (1952-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5ttrc-1ke24pnmfbjxl","d699mu5ttrc-1ke24pnmfbjxl","Person","Sarazin, Jacques (1592-1660)",,,,,,,,,
"agent/FRAN_RI_012-d699mu23fu8--fmv3pp6jj1jc","d699mu23fu8--fmv3pp6jj1jc","Person","Sarkozy, Nicolas (1955-....)",,,,,,,,,
"agent/FRAN_RI_012-d-5oshs9zsdlo--1jrqexg4gn5w6","d-5oshs9zsdlo--1jrqexg4gn5w6","Person","Sarmoileff, Nicolas",,,,,,,,,
"agent/FRAN_RI_012-d-9zzaf4u9t-1w3wh8d6rd5qa","d-9zzaf4u9t-1w3wh8d6rd5qa","Person","Sarrail, Maurice (1856-1929)","Sarrail, Général (1856-1929) | Sarrail, Maurice Paul Emmanuel (1856-1929)","1856-04-06","1929-03-23","Général de division. Commandant en chef des armées alliées d'Orient (nommé fin 1915)",,,,,
"agent/FRAN_RI_012-d3m0bn47hyd-1rvrvgrprjr5n","d3m0bn47hyd-1rvrvgrprjr5n","Person","Sartine, Antoine de (1729-1801)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx0df0--1ut4el044efqm","d-dv4qx0df0--1ut4el044efqm","Person","Sauvageot, Louis (1842-1908)",,"1842-05-06","1908-01-14","Né le 05/06/1842 à Santenay. Décédé le 14/01/1908 à Paris. Architecte et inspecteur général des édifices diocésains. A œuvré à la restauration des cathédrales de Laon, Nantes, Beauvais, Rouen.",,"Q3263095","https://fr.wikipedia.org/wiki/Louis_Sauvageot",,"https://data.bnf.fr/ark:/12148/cb104152809#about"
"agent/FRAN_RI_012-d699mtzc1be--wuz1yl0rrcyf","d699mtzc1be--wuz1yl0rrcyf","Person","Sauval, Henri (1620 ?-1676)",,,,,,,,,
"agent/FRAN_RI_012-d699mu14cvm--717neu6xphwn","d699mu14cvm--717neu6xphwn","Person","Sauvé, Jean-Marc (1949-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2yncp--1j0n433zjpn97","d699mu2yncp--1j0n433zjpn97","Person","Sauvy, Alfred (1898-1990)",,,,,,,,"051000",
"agent/FRAN_RI_012-d699mu08vuv--e19xau0cmiz0","d699mu08vuv--e19xau0cmiz0","Person","Savary, Alain (1918-1988)",,,,,,,,"050983",
"agent/FRAN_RI_012-d699mtzetxw--1h0nwdixf6hew","d699mtzetxw--1h0nwdixf6hew","Person","Savoie, Eugène Maurice de (1635-1673)",,,,,,,,,
"agent/FRAN_RI_012-d699mu62dkr-1dqhabj30v5sl","d699mu62dkr-1dqhabj30v5sl","Person","Savoie, Louis Thomas de (1657-1702)",,,,,,,,,
"agent/FRAN_RI_012-d699mu67vnn--1nyw8mbvi9p1z","d699mu67vnn--1nyw8mbvi9p1z","Person","Savoie, Marie Françoise de (1646-1683)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzwhs3--8t9ouj9mkkbw","d699mtzwhs3--8t9ouj9mkkbw","Person","Savoie, Thomas de (1596-1656)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6a3a9--1giascm7tpra5","d699mu6a3a9--1giascm7tpra5","Person","Savoie-Carignan, Anne Thérèse de (1717-1745)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6e1i9--1p3dn3i62xso5","d699mu6e1i9--1p3dn3i62xso5","Person","Saxe, Maurice de (1696-1750)","Saxe, Maréchal de (1696-1750)",,,,,,,,
"agent/FRAN_RI_012-d-bhsp5vwa6--lk849xet2451","d-bhsp5vwa6--lk849xet2451","Person","Say, Constant (1816-1871)","Say, Constant André",,,,,,,,"https://data.bnf.fr/ark:/12148/cb10924284h#about"
"agent/FRAN_RI_012-d699mu2gply--1ji7y48rhzr2k","d699mu2gply--1ji7y48rhzr2k","Person","Scarron, Paul (1610-1660)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn37c78--pr27tzeq206o","d3m0bn37c78--pr27tzeq206o","Person","Schenk, Pieter I (1661-1711)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn4o1db--kghmw7ffladj","d3m0bn4o1db--kghmw7ffladj","Person","Schenk, Pieter II (16..?-17..?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5br9g-12rh6j3vifuqb","d699mu5br9g-12rh6j3vifuqb","Person","Schickler, Eléonore Isabelle Malvina (1822-1877)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzmbbx-1ge0wsmks2229","d699mtzmbbx-1ge0wsmks2229","Person","Schleyer, Hanns Martin (1915-1977)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4rbzk-to27dyibhw0v","d699mu4rbzk-to27dyibhw0v","Person","Schomberg, Gaspard de (1540-1599)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1bsac--1ltj8aktvi6de","d699mu1bsac--1ltj8aktvi6de","Person","Schomberg, Jeanne de (1601-1674)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx0v59-ai6gz6m1znmi","d-dv4qx0v59-ai6gz6m1znmi","Person","Schuler, Charles (1852-1900)",,"1852-06-23","1900-01-05","Né le 23/06/1852 à Rambervillers. Décédé le 01/05/1900 à Nancy. Architecte diocésain. A œuvré à la restauration de la cathédrale de Saint-Dié.",,"Q26202631",,,
"agent/FRAN_RI_012-d699mu6o9xq-17erkakc717zv","d699mu6o9xq-17erkakc717zv","Person","Schumann, Maurice (1911-1998)",,,,,,,,,
"agent/FRAN_RI_012-d699mu29kwb-eehotydt792a","d699mu29kwb-eehotydt792a","Person","Schwartzenberg, Roger-Gérard (1943-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu32v2z-xc1aqnbhssrt","d699mu32v2z-xc1aqnbhssrt","Person","Scudéry, Madeleine de (1607-1701)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5wfnd--5xrmolsiwgs4","d699mu5wfnd--5xrmolsiwgs4","Person","Ségard, Norbert (1922-1981)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5gspd--20dyzsvtj0vp","d699mu5gspd--20dyzsvtj0vp","Person","Séguier, Louis (16..-1663)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6g5ys--1vb5qmyx8i8h3","d699mu6g5ys--1vb5qmyx8i8h3","Person","Séguier, Pierre (1588-1672)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0hzvn--euvm9a7h6qsb","d699mu0hzvn--euvm9a7h6qsb","Person","Séguier de Saint-Brisson, Pierre (16..-1669)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0sf1k-3jciwojzelp6","d699mu0sf1k-3jciwojzelp6","Person","Séguin, Camille (1854-1932)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4mjno-1pwef9qy4sy2l","d699mu4mjno-1pwef9qy4sy2l","Person","Séguin, Camille Ferdinand (1817-1871)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5drrd-13ycc3f90y2rz","d699mu5drrd-13ycc3f90y2rz","Person","Séguin, Emmanuel Siméon (1859-1907)",,,,,,,,,
"agent/FRAN_RI_012-d-5uxxjuiqpii-k99a55jr0e6p","d-5uxxjuiqpii-k99a55jr0e6p","Person","Seguin, Félicité Eléonore",,,,,,,,,
"agent/FRAN_RI_012-d699mu667u4--1pqjuznb36u8k","d699mu667u4--1pqjuznb36u8k","Person","Séguin, Marie Cécile (1856-1900)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3pe0v--1pjvxq504iafk","d699mu3pe0v--1pjvxq504iafk","Person","Séguin, Marie Fernande (1865-1941)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1kwb4--1nbjk3ziblimr","d699mu1kwb4--1nbjk3ziblimr","Person","Séguin, Marie Françoise Thérèse (1868-19..)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1lp88--6mk5dn5gdi9m","d699mu1lp88--6mk5dn5gdi9m","Person","Séguin, Marie Thérèse (1862-1950)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2iema--ggpr6ysxrf59","d699mu2iema--ggpr6ysxrf59","Person","Séguin, Philippe (1943-2010)",,,,,,,,"010114",
"agent/FRAN_RI_012-d699mu6k8jn--xa0bj9323k0","d699mu6k8jn--xa0bj9323k0","Person","Ségur, Henriette Elisabeth de (1722-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1bzf1-hpjv5qrtzj9o","d699mu1bzf1-hpjv5qrtzj9o","Person","Ségur, Henri François de (1689-1751, comte de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu110g1--1cr4tnd8it9sk","d699mu110g1--1cr4tnd8it9sk","Person","Ségur, Henri Raymond Eugène de (1798-1863)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1176h--ina9ttkm5frs","d699mu1176h--ina9ttkm5frs","Person","Ségur, Marie Philippine Henriette Victoire de (1767-1832)",,,,,,,,,
"agent/FRAN_RI_012-d699mu02lne--1q23sps4m6iuf","d699mu02lne--1q23sps4m6iuf","Person","Ségur, Sabine Félicité de (1829-1868)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1dcxr--15adjeqh9g1tb","d699mu1dcxr--15adjeqh9g1tb","Person","Ségur, Sophie de (1799-1874)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0ucrn-1ftd53roi5ju7","d699mu0ucrn-1ftd53roi5ju7","Person","Séguy, Georges (1927-....)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx1edv--1q0leugu92cgl","d-dv4qx1edv--1q0leugu92cgl","Person","Seheult, Saint-Félix (1793-1858)",,"1793-07-03","1858-03-25","Né le 07/03/1793 à Nantes. Décédé le 25/03/1858 à Nantes. Architecte du département de la Loire-Inférieure. A œuvré à la restauration de la cathédrale de Nantes.",,"Q3462207","https://fr.wikipedia.org/wiki/Saint-F%C3%A9lix_Seheult",,
"agent/FRAN_RI_012-d-dv4qx1k1k--asj0b1y1d9ed","d-dv4qx1k1k--asj0b1y1d9ed","Person","Selmersheim, Paul (1840-1916)",,"1840-06-23","1916-04-12","Né le 23/06/1840 à Langres. Décédé le 04/12/1916 à Paris. Architecte diocésain. A œuvré à la restauration des cathédrales de Langres, Moulins, Noyon, Chartres, Troyes.",,"Q3372194","https://fr.wikipedia.org/wiki/Paul_Selmersheim",,
"agent/FRAN_RI_012-d699mu1e5gm--dljl5ztjh8c7","d699mu1e5gm--dljl5ztjh8c7","Person","Senghor, Léopold Sédar (1906-2001)","Sédar Senghor, Léopold (1906-2001)",,,,,,,,
"agent/FRAN_RI_012-d3m0bn4bohp--juaxy53dekh5","d3m0bn4bohp--juaxy53dekh5","Person","Sengre, Henri (16..-17..)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0qmv5--1btzt2d1ygact","d699mu0qmv5--1btzt2d1ygact","Person","Servandoni, Jean Nicolas (1695-1766)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1uy04-z6z4erfhe2ce","d699mu1uy04-z6z4erfhe2ce","Person","Servan-Schreiber, Jean-Jacques (1924-2006)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzskcm-m227zgc7vksk","d699mtzskcm-m227zgc7vksk","Person","Servien, Antoinette de (16..-1679)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3ru8b-1me00nriobfsm","d3m0bn3ru8b-1me00nriobfsm","Person","Seutter, Matthaüs (17..-17..)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0ouor-6ajsl3w1zi3p","d699mu0ouor-6ajsl3w1zi3p","Person","Sevestre, Nicolas (15..-1630)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5f43b--151w5x0vcnatw","d699mu5f43b--151w5x0vcnatw","Person","Sévigné, Henri de (1623-1651)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzi5ky--hthsn8er528x","d699mtzi5ky--hthsn8er528x","Person","Sévigné, Marie de Rabutin-Chantal (1626-1696 , marquise de)","Sévigné, Marquise de (1626-1696) | Sévigné, Madame de (1626-1696)",,,,,,,,
"agent/FRAN_RI_012-d699mu5krpv-1oc7v40nf9pom","d699mu5krpv-1oc7v40nf9pom","Person","Sévigné, Renaud René de (16..-1656)",,,,,,,,,
"agent/FRAN_RI_012-d699mu48qh4--4yfwey8kf2a","d699mu48qh4--4yfwey8kf2a","Person","Seznec, Guillaume (1878-1954)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx1whp-1okir9g8s97ly","d-dv4qx1whp-1okir9g8s97ly","Person","Sibien, Armand (1855-1918)",,"1855-01-07","1918-06-02","Né le 01/07/1855 à Mont-de-Marsan. Décédé le 06/02/1918 à Paris. Architecte. A œuvré à la restauration de la cathédrale d'Aire-sur-l'Adour.",,"Q21562047",,,
"agent/FRAN_RI_012-d-dv4qx21ru-1xqh8ykwle6da","d-dv4qx21ru-1xqh8ykwle6da","Person","Sibien, Jean Antoine Jules (1822-1881)",,"1822-01-05","1881-04-12","Né le 01/05/1822 à Nancy. Décédé le 04/12/1881 à Paris. Architecte diocésain. A œuvré à la restauration de la cathédrale d'Agen.",,"Q26202634",,,
"agent/FRAN_RI_012-d699mu6n742-4nngrlncjihg","d699mu6n742-4nngrlncjihg","Person","Sid Cara, Nafissa (1910-2002)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2sdjh--1mzggdqtmau1g","d699mu2sdjh--1mzggdqtmau1g","Person","Simiane de Bercy, Catherine Marie de (17..-....)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx28ka--11jmls0intr0e","d-dv4qx28ka--11jmls0intr0e","Person","Simil, Alphonse (1841-1916)",,"1841-01-01","1916-01-01","Né le 01/01/1841 à Nîmes. Décédé en 1916. Architecte diocésain. A œuvré à la restauration de la cathédrale de Bayeux.",,"Q2651094",,,
"agent/FRAN_RI_012-d699mu3412q-1nok70d0ldhu2","d699mu3412q-1nok70d0ldhu2","Person","Simon de Mosar, Pierre Jean (17.. ?-1760)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx2elk--4v4hu6c40jtm","d-dv4qx2elk--4v4hu6c40jtm","Person","Sirodot, Henri (1808-1872)",,"1808-05-28","1872-11-17","Né le 28/05/1808. Décédé en 17/11/1872. Architecte diocésain. A œuvré à la restauration de la cathédrale d'Albi.",,"Q21590061",,,
"agent/FRAN_RI_012-d699mu3pwn6-1mnt0dgdt0d2b","d699mu3pwn6-1mnt0dgdt0d2b","Person","Skorodumov, Gabriel (1748-1792)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz6sqs-3w08awp7og6b","d699mtz6sqs-3w08awp7og6b","Person","Slodtz, Dominique François (1710-1764)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0mb69-1i9c5oo2zjcod","d699mu0mb69-1i9c5oo2zjcod","Person","Slodtz, Jean-Baptiste (1699-1759)",,,,,,,,,
"agent/FRAN_RI_012-d699mu09gur--1kmzyzac9vkor","d699mu09gur--1kmzyzac9vkor","Person","Soisson, Jean-Pierre (1934-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzo2pt--1gwd0h5dcpjro","d699mtzo2pt--1gwd0h5dcpjro","Person","Soissons, Charles de Bourbon (1566-1612 , comte de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5bezc--5xd5wtfetpa1","d699mu5bezc--5xd5wtfetpa1","Person","Soissons, Louis de Bourbon (1604-1641 , comte de)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qx2n9w--17jni4ui160c7","d-dv4qx2n9w--17jni4ui160c7","Person","Solente, Nicolas Nicaise (1788-1831)",,"1788-01-21","1831-03-27","Né le 21/01/1788 à Melun. Décédé le 27/03/1831 à Melun. Architecte du département de Seine-et-Marne. A œuvré à la restauration de la cathédrale de Meaux.",,,,,
"agent/FRAN_RI_012-d3m0bn3s1d1--30lj7ixalyy9","d3m0bn3s1d1--30lj7ixalyy9","Person","Somer, Jean Pruthenus (16..-16..?)",,,,,,,,,
