"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Type de lieu (rico:hasOrHadPlaceType)","Description (rico:descriptiveNote)","Nom et id du lieu dans lequel le lieu-dit est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"place/FRAN_RI_005-d-3tiez4055-14z1j3nz0nzhh","d-3tiez4055-14z1j3nz0nzhh","Notre-Dame-des-Anges du Massif des Maures, sanctuaire de (Pignans ; sanctuaire)",,"sanctuaire","Le sanctuaire de Notre-Dame-des-Anges du Massif des Maures est constitué d'une chapelle et d'un petit couvent cloîtré, situé dans le Massif des Maures au-dessus du petit bourg de Pignans dans le Var. (Source : https://fr.wikipedia.org/wiki/Notre-Dame-des-Anges_du_Massif_des_Maures )","Pignans (Var) [d3ntvo4j01--llrt9stzses8]","http://www.wikidata.org/entity/Q1296963","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d-8xjj3v2cm--y0y4nm3xfnqu","d-8xjj3v2cm--y0y4nm3xfnqu","Notre-Dame de Tamié, abbaye (Plancherine ; abbaye)",,"abbaye","L'abbaye Notre Dame de Tamié est un monastère cistercien-trappiste situé sur le territoire de la commune de Plancherine. (Source : https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_de_Tami%C3%A9)","Plancherine (Savoie) [d3ntsefwya-15lb6g9pp61nu]","http://www.wikidata.org/entity/Q1229179 | https://sws.geonames.org/11127977/",
"place/FRAN_RI_005-d3m08zoq4rn--ttaa0cc9bp3r","d3m08zoq4rn--ttaa0cc9bp3r","Oiron (Deux-Sèvres, château d')",,"aménagement ou construction",,"Deux-Sèvres (Poitou-Charentes, département) [d3ntb7jsrh-vfhddufur92k]",,
"place/FRAN_RI_005-d-9lkpyrdt8--1i76ye5whyffa","d-9lkpyrdt8--1i76ye5whyffa","Oise, canal latéral à l' (France ; canal)",,"aménagement ou construction","Tye : canal | Le canal latéral à l’Oise est un canal de gabarit Freycinet qui dessert l’Est de la Picardie. (Source : https://fr.wikipedia.org/wiki/Canal_lat%C3%A9ral_%C3%A0_l%27Oise)","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q1032701",
"place/FRAN_RI_005-d-6ywd0c54b--vezx6xmv9xnb","d-6ywd0c54b--vezx6xmv9xnb","Orange-Caritat, base aérienne d' (Vaucluse ; base aérienne)",,"base aérienne","La base aérienne 115 Orange-Caritat « Capitaine de Seynes » de l'Armée de l'air française est située à cinq kilomètres à l'est d'Orange dans le Vaucluse. (Source : https://fr.wikipedia.org/wiki/Base_a%C3%A9rienne_115_Orange-Caritat)","Vaucluse (Provence-Alpes-Côte-d'Azur, département) [d3ntb8zmn9-1hsz0e2skhfyr]","http://www.wikidata.org/entity/Q2886463 | https://sws.geonames.org/6299419/",
"place/FRAN_RI_005-d-ay0r17h1y-oigug0k0iybx","d-ay0r17h1y-oigug0k0iybx","Orléans, canal d' (Loiret ; canal)",,"canal","Le canal d'Orléans est une ancienne voie d'eau située dans le département français du Loiret. (Source : https://fr.wikipedia.org/wiki/Canal_d%27Orl%C3%A9ans)","Loiret (Centre, département) [d3ntb85kbl-a9i9f62vvrla]","http://www.wikidata.org/entity/Q639370",
"place/FRAN_RI_005-d-1g85e4enk--hcsdwsmv87se","d-1g85e4enk--hcsdwsmv87se","Ossuaire de Douaumont (Meuse ; cimetière militaire)",,"aménagement ou construction","L'ossuaire de Douaumont est un monument à la mémoire des soldats de la bataille de Verdun de 1916, situé à la limite des communes de Douaumont-Vaux et Fleury-devant-Douaumont, à quelques kilomètres de Verdun, dans le département de la Meuse en région Grand Est. (Source : https://fr.wikipedia.org/wiki/Ossuaire_de_Douaumont)","Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","http://www.wikidata.org/entity/Q705054","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d5bdoyt8o7--12wp07wmh81nk","d5bdoyt8o7--12wp07wmh81nk","Ourcq (canal)",,"aménagement ou construction",,,,
"place/FRAN_RI_005-d3m08zz6pgn--1s0xygm8a2qpg","d3m08zz6pgn--1s0xygm8a2qpg","Ourscamp (Oise, abbaye d')",,"aménagement ou construction",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]",,
"place/FRAN_RI_005-d3m08zjgl27--1ulxrt2wrsghy","d3m08zjgl27--1ulxrt2wrsghy","Pange (Moselle, château de)",,"aménagement ou construction",,"Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]",,
"place/FRAN_RI_005-d3m08ztdygz-plp6okcxsuyw","d3m08ztdygz-plp6okcxsuyw","Perray-Neuf (Sarthe, abbaye du)",,"aménagement ou construction",,"Sarthe (Pays-de-la-Loire, département) [d3ntb8ps1u-1d4qaxfwhbf8n]",,
"place/FRAN_RI_005-d3m08z2zcjj-12pwhdxlf6qp3","d3m08z2zcjj-12pwhdxlf6qp3","Perseigne (Sarthe, abbaye de)",,"aménagement ou construction",,"Sarthe (Pays-de-la-Loire, département) [d3ntb8ps1u-1d4qaxfwhbf8n]",,
"place/FRAN_RI_005-d-1g85e3r9w--12k0aycxmz9k8","d-1g85e3r9w--12k0aycxmz9k8","Phare de la Coubre (La Tremblade ; phare)",,"phare","Le phare de la Coubre est un phare situé en France sur la commune de La Tremblade dans le département de la Charente-Maritime, en région Nouvelle-Aquitaine. (Source : https://fr.wikipedia.org/wiki/Phare_de_la_Coubre)","La Tremblade (Charente-Maritime) [d3ntes1pml--38qjzwnhcrhh]","http://www.wikidata.org/entity/Q3378474","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d-6l8o47280--dx1zhzxfh9om","d-6l8o47280--dx1zhzxfh9om","Phare des Baleines (Saint-Clément-des-Baleines ; phare)",,"phare","Le phare des Baleines est situé à la pointe ouest de l'île de Ré (Charente-Maritime), sur la commune de Saint-Clément-des-Baleines. (Source :https://fr.wikipedia.org/wiki/Phare_des_Baleines)","Saint-Clément-des-Baleines (Charente-Maritime) [d3nteqr6y2--uqv17mb2f44l]","http://www.wikidata.org/entity/Q1770845","02/06/2020 : Lieu ajouté le [02/06/2020]"
"place/FRAN_RI_005-d-1g85e5cww--1kedb5txf889q","d-1g85e5cww--1kedb5txf889q","Phare du cap Lévi (Fermanville ; phare)",,"phare","Le phare du cap Lévi est situé au cap Lévi, sur la commune de Fermanville, dans la Manche. Il sert de relais entre le phare de la Hague et le phare de Gatteville. (Source : https://fr.wikipedia.org/wiki/Phare_du_Cap_L%C3%A9vi)","Fermanville (Manche) [d3ntkgr0qq-ohubihl7d8z3]","http://www.wikidata.org/entity/Q3378515","07/05/2020 : Lieu ajouté le [07/05/2020]"
"place/FRAN_RI_005-d3m08zrfcd9--54e6ohanh0p8","d3m08zrfcd9--54e6ohanh0p8","Pierrefonds (Oise, château de)",,"aménagement ou construction",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]",,
"place/FRAN_RI_005-d3m08zoozyp--1shixy5ralawb","d3m08zoozyp--1shixy5ralawb","Piple (Val-de-Marne, château du)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08zjvsji--1gxyiysybeeyi","d3m08zjvsji--1gxyiysybeeyi","Plessis-Villelouet (Loir-et-Cher, château du)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d-1efxamddk-knz2g3vi9j37","d-1efxamddk-knz2g3vi9j37","Pompadour, château de (Arnac-Pompadour ; château)",,"château",,"Arnac-Pompadour (Corrèze) [d3ntewdqod--17wf1bpe7vm2j]","http://www.wikidata.org/entity/Q28040794",
"place/FRAN_RI_005-d3m08zcdwxi--1ldh0e9mppcij","d3m08zcdwxi--1ldh0e9mppcij","Pont-aux-Dames (Seine-et-Marne, abbaye du)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08z6f9lp-1uu4x3xtwah1f","d3m08z6f9lp-1uu4x3xtwah1f","Pontchartrain (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08z5sxez--1p5ua4nw6m2gb","d3m08z5sxez--1p5ua4nw6m2gb","Pontigny (Yonne, abbaye de)",,"aménagement ou construction",,"Yonne (Bourgogne, département) [d3ntb918mq--w6r60hxod5vb]",,
"place/FRAN_RI_005-d3m08zv1bph-1ln4cz36rapz5","d3m08zv1bph-1ln4cz36rapz5","Pontlevoy (Loir-et-Cher, abbaye de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d-9g49yn59s--i49jxxn3z6vn","d-9g49yn59s--i49jxxn3z6vn","Ponts-Neufs, viaduc des (Côtes-d'Armor ; viaduc)",,"viaduc","Le viaduc des Ponts-Neufs a été construit à partir de 1913 par Louis Auguste Harel de La Noë pour les Chemins de Fer des Côtes-du-Nord. Il est situé entre les villes de Hillion et de Morieux (Source : https://fr.wikipedia.org/wiki/Viaduc_des_Ponts-Neufs)","Côtes-d'Armor (Bretagne, département) [d3ntb7hqlz-1wtyohr4yjr84]","http://www.wikidata.org/entity/Q3556693",
"place/FRAN_RI_005-d-8t3l7vpnm--ld1316qwcrdf","d-8t3l7vpnm--ld1316qwcrdf","Port-Haliguen (Quiberon ; port)",,"port","Le port-Haliguen se trouve à Quiberon, dans la baie du même nom. Le vieux port de pêcheur typique a évolué. Il est devenu un port de plaisance. (Source : https://fr.wikipedia.org/wiki/Port-Haliguen)","Quiberon (Morbihan) [d3ntlhy3e4--1cbo7dv3kkg18]","http://www.wikidata.org/entity/Q63844477","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d-9kp0pa0ut--t91ed8k3hcup","d-9kp0pa0ut--t91ed8k3hcup","Port Manec'h (Névez ; station balnéaire)",,"station balnéaire","Port Manec'h est une station balnéaire du Finistère sud située sur la commune de Névez, à l’embouchure de l’Aven et du Bélon. (Source : https://fr.wikipedia.org/wiki/Port_Manec%27h )","Névez (Finistère) [d3ntgsi30e--zj028gs2sa9b]","http://www.wikidata.org/entity/Q17636983","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d-9q28ucxkj-yxsw4ojcobgo","d-9q28ucxkj-yxsw4ojcobgo","Port-Navalo (Arzon ; port)",,"port","Port-Navalo (Porzh Noalou en breton) est un ancien port de pêche côtière datant du début du xxe siècle. Il est situé sur la commune d'Arzon, dans le département du Morbihan en Bretagne. (Source : https://fr.wikipedia.org/wiki/Port-Navalo )","Arzon (Morbihan) [d3ntlg1duh-1bsyjj7ht4pb0]","http://www.wikidata.org/entity/Q3398297","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d3m08zuzyl2--17b3nr4xe4750","d3m08zuzyl2--17b3nr4xe4750","Port-Royal-des-Champs (Yvelines, abbaye de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d-9sjjq8dvd--gp7bplwe2zq","d-9sjjq8dvd--gp7bplwe2zq","Portsall (Ploudalmézeau ; port)",,"port","Portsall est une localité côtière faisant partie de la commune de Ploudalmézeau, située dans le nord-ouest du Finistère au bord de la mer d'Iroise. Ses habitants sont les Portsallais. En 1951 a été créée sur le territoire de Ploudalmézeau la paroisse de Port-Sall, dédiée à Notre-Dame du Scapulaire. Ce port tire sa renommée d'une part de ses roches mais surtout du naufrage de l'Amoco Cadiz en 1978. Ce super tanker géant qui vint s'échouer un jour de tempête provoqua la pollution des côtes sur plus de 150 km. (Source : https://fr.wikipedia.org/wiki/Portsall )","Ploudalmézeau (Finistère) [d3ntgsqkgj--2oux94676dua]","http://www.wikidata.org/entity/Q3399540","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d-atkt9itq4-v60h3jxkcrfn","d-atkt9itq4-v60h3jxkcrfn","Port-Tudy (Groix ; port)",,"port","Port-Tudy constitue le plus grand port de pêche et de plaisance de l'île de Groix. (Source : https://fr.wikipedia.org/wiki/Groix)","Groix (Morbihan) [d3ntlgqm7q-g27bhhppk8ii]","https://sws.geonames.org/2985926/",
"place/FRAN_RI_005-d3m08zyexz0--17zfvnnr9hdrw","d3m08zyexz0--17zfvnnr9hdrw","Prémontré (Aisne, abbaye de)",,"aménagement ou construction",,"Aisne (Picardie, département) [d3ntb70r2g--1uw0k9ewfsj4r]",,
"place/FRAN_RI_005-d3m08z0ygtz-1fwyecjuhn3z9","d3m08z0ygtz-1fwyecjuhn3z9","Preuilly (Seine-et-Marne, abbaye de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08z932hv--1mrvqfcucje2l","d3m08z932hv--1mrvqfcucje2l","Prye (Nièvre, château de)",,"aménagement ou construction",,"Nièvre (Bourgogne, département) [d3ntb8ej0i-1mhq8etaawzq8]",,
"place/FRAN_RI_005-d-8z8o85q85-l4ylu5llarfo","d-8z8o85q85-l4ylu5llarfo","Pyla-sur-Mer (Gironde ; station balnéaire)",,"station balnéaire","Pyla-sur-Mer est une station balnéaire française de l'Atlantique, à l'entrée du bassin d'Arcachon, dans le département de la Gironde et la région Nouvelle-Aquitaine. (Source : https://fr.wikipedia.org/wiki/Pyla-sur-Mer )","Gironde (Aquitaine, département) [d3ntb7rwey-p9op5y5cz1c6]","http://www.wikidata.org/entity/Q3411222 | https://sws.geonames.org/6698339/","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m08zvnzs2--hwa6wrzdcacl","d3m08zvnzs2--hwa6wrzdcacl","Rambouillet (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d5bdp2ayrw--vngga1nfrpwv","d5bdp2ayrw--vngga1nfrpwv","Ravensbrück (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zbjqom-1kjnsnxjnoqwc","d3m08zbjqom-1kjnsnxjnoqwc","Reclus (Marne, abbaye du)",,"aménagement ou construction",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]",,
"place/FRAN_RI_005-d3m08yjpxux-fyi8577ickqf","d3m08yjpxux-fyi8577ickqf","Remiremont (Vosges, abbaye de)",,"aménagement ou construction",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]",,
"place/FRAN_RI_005-d3m08zrfs7q-1ioembrrh4uw4","d3m08zrfs7q-1ioembrrh4uw4","Rentilly (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08z3ln58--1ni0a1xikiuch","d3m08z3ln58--1ni0a1xikiuch","Réome (Côte-d'Or, abbaye de)",,"aménagement ou construction",,"Côte-d'Or (Bourgogne, département) [d3ntb7heyx--g2riisb6ka8j]",,
"place/FRAN_RI_005-d-5uaimjoeb--nslnxls4w1lg","d-5uaimjoeb--nslnxls4w1lg","Rhône au Rhin, canal du (France ; canal)",,"canal","Le canal du Rhône au Rhin est un canal français qui relie la Saône, affluent navigable du Rhône, au Rhin, par la vallée du Doubs et son prolongement en Haute Alsace jusqu'à Niffer sur le Rhin, un autre prolongement rejoignant Strasbourg par la canalisation de l'Ill. (Source : https://fr.wikipedia.org/wiki/Canal_du_Rh%C3%B4ne_au_Rhin )","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q1755012",
"place/FRAN_RI_005-d5bdph5l06--he0a86n97k4g","d5bdph5l06--he0a86n97k4g","Rivesaltes (Pyrénées-Orientales, camp)",,"aménagement ou construction",,"Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]",,
"place/FRAN_RI_005-d-378xf9ini-5i0cbwkmj3u","d-378xf9ini-5i0cbwkmj3u","Roanne à Digoin, canal de (France ; canal)",,"canal","Le canal latéral de Roanne à Digoin est un canal latéral au gabarit Freycinet longeant la Loire. (Source : https://fr.wikipedia.org/wiki/Canal_lat%C3%A9ral_de_Roanne_%C3%A0_Digoin)","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q751681",
"place/FRAN_RI_005-d3m08z583i1--1n3gkp8tzx1y3","d3m08z583i1--1n3gkp8tzx1y3","Rochefort-en-Yvelines (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08zk2c92--1h6ypxy4qnv4r","d3m08zk2c92--1h6ypxy4qnv4r","Roche-Racan (Indre-et-Loire, château de la)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d5bdppvyqo--1fvw8g9ah8ns9","d5bdppvyqo--1fvw8g9ah8ns9","Rollwald-Niederroden (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z1buy5--60k3wt6dmmvw","d3m08z1buy5--60k3wt6dmmvw","Rosny-sur-Seine (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08yznmt9--13ltgl5dhwxzc","d3m08yznmt9--13ltgl5dhwxzc","Royaumont (Val-d'Oise, abbaye de)",,"aménagement ou construction",,"Val-d'Oise (Ile-de-France, département) [d3ntb8ynxv--18mkd7r455huc]",,
"place/FRAN_RI_005-d3m08zxt7kn-1hylwkitz60yk","d3m08zxt7kn-1hylwkitz60yk","Sablé (Sarthe, château de)",,"aménagement ou construction",,"Sarthe (Pays-de-la-Loire, département) [d3ntb8ps1u-1d4qaxfwhbf8n]",,
"place/FRAN_RI_005-d-zn2qjtak-1d2ybxiiiynxg","d-zn2qjtak-1d2ybxiiiynxg","Sables-d'Or-les-Pins (Côtes-d'Armor ; station balnéaire)",,"station balnéaire","Station balnéaire sur les communes de Fréhel et de Plurien. (Source : https://fr.wikipedia.org/wiki/Sables-d%27Or-les-Pins)","Côtes-d'Armor (Bretagne, département) [d3ntb7hqlz-1wtyohr4yjr84]","http://www.wikidata.org/entity/Q3460614 | https://sws.geonames.org/2982077/",
"place/FRAN_RI_005-d5bdoytxw4--1sllcc5ziqa5a","d5bdoytxw4--1sllcc5ziqa5a","Sachsenhausen (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-bfslzxr12-e8uarz7n932h","d-bfslzxr12-e8uarz7n932h","Sailhant, château du (Andelat ; château)",,"château",,"Andelat (Cantal) [d3ntefwkpf--fpb7lh368xl5]","http://www.wikidata.org/entity/Q15943705",
"place/FRAN_RI_005-d3m08zni7q7--x4i138j231kr","d3m08zni7q7--x4i138j231kr","Saint-Ange (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m0900xreq--125v23ihewph5","d3m0900xreq--125v23ihewph5","Saint-Benoît-sur-Loire (Loiret, abbaye de)",,"aménagement ou construction",,"Loiret (Centre, département) [d3ntb85kbl-a9i9f62vvrla]",,
"place/FRAN_RI_005-d3m08z2e8bt--za2h3g5gfvv3","d3m08z2e8bt--za2h3g5gfvv3","Saint-Cloud (Hauts-de-Seine, château de)",,"aménagement ou construction",,"Hauts-de-Seine (Ile-de-France, département) [d3ntb7xgvv-17sbqf1hi4qgj]",,
"place/FRAN_RI_005-d3m08zv4hss-39dd7jd647x7","d3m08zv4hss-39dd7jd647x7","Saint-Cyran (Indre, abbaye de)",,"aménagement ou construction",,"Indre (Centre, département) [d3ntb7ywek-1jk626ybdg665]",,
"place/FRAN_RI_005-d5bdp7287h--11mq7qhoynibp","d5bdp7287h--11mq7qhoynibp","Saint-Denis (canal)",,"aménagement ou construction",,,,
"place/FRAN_RI_005-d5bdpqi2l4-gbrq73h7af8p","d5bdpqi2l4-gbrq73h7af8p","Saint-Denis (Seine-Saint-Denis, abbaye de)",,"aménagement ou construction",,"Seine-Saint-Denis (Ile-de-France, département) [d3ntb8t74v--1wxzypxi8r7lm]",,
"place/FRAN_RI_005-d3m08yvuv1q--1lh42jrmacqlf","d3m08yvuv1q--1lh42jrmacqlf","Sainte-Assise (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d-1g85e4nww-1wi9ra43pdpwi","d-1g85e4nww-1wi9ra43pdpwi","Sainte-Marie de la Pierre-qui-Vire, abbaye (Saint-Léger-Vauban ; abbaye)",,"abbaye","L'abbaye Sainte-Marie-de-la-Pierre-qui-Vire située dans la commune de Saint-Léger-Vauban, dans l'Yonne, est une abbaye bénédictine fondée en 1850 par le révérend père Jean-Baptiste Muard. (Source : https://fr.wikipedia.org/wiki/Abbaye_Sainte-Marie_de_la_Pierre-qui-Vire )","Saint-Léger-Vauban (Yonne) [d3ntx9q6x5--5ikyf1bi61ra]","http://www.wikidata.org/entity/Q306145","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d-8wiajioy5--jptcr517fslx","d-8wiajioy5--jptcr517fslx","Saint-François de Cuburien, monastère de (Saint-Martin-des-Champs ; abbaye)",,"abbaye","Le monastère de Saint-François de Cuburien ou Couvent de Cuburien est situé sur le territoire de la commune de Saint-Martin-des-Champs, dans le Finistère en France, en bordure de la Rivière de Morlaix. (Source : https://fr.wikipedia.org/wiki/Monast%C3%A8re_de_Saint-Fran%C3%A7ois_de_Cuburien)","Saint-Martin-des-Champs (Finistère) [d3ntgtjbsh--1hmud7xkmh89p]","http://www.wikidata.org/entity/Q3320329","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m08z2gb78-u5d01jnylfbs","d3m08z2gb78-u5d01jnylfbs","Saint-Georges-de-Boscherville (Seine-Maritime, abbaye de)",,"aménagement ou construction",,"Seine-Maritime (Haute-Normandie, département) [d3ntb8svpl-1sgeqirhtkz5g]",,
"place/FRAN_RI_005-d3m090065gr-wake5plbs0jd","d3m090065gr-wake5plbs0jd","Saint-Georges-des-Bois (Loir-et-Cher, abbaye de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d3m08z89rxw-1a6hv1hyzsk9o","d3m08z89rxw-1a6hv1hyzsk9o","Saint-Germain-en-Laye (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08zysub7-mgtcj1pzulns","d3m08zysub7-mgtcj1pzulns","Saint-Jean-d'Orbestier (Vendée, abbaye de)",,"aménagement ou construction",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]",,
"place/FRAN_RI_005-d3m08z3smaz--rgb2362o2qjf","d3m08z3smaz--rgb2362o2qjf","Saint-Maixent-l'Ecole (Deux-Sèvres, abbaye de)",,"aménagement ou construction",,"Deux-Sèvres (Poitou-Charentes, département) [d3ntb7jsrh-vfhddufur92k]",,
"place/FRAN_RI_005-d-901d6fvlx-1ddvbocjpccp4","d-901d6fvlx-1ddvbocjpccp4","Saint-Marc-sur-Mer (Saint-Nazaire ; station balnéaire)",,"station balnéaire","Saint-Marc-sur-Mer est une station balnéaire, située sur le territoire de la commune de Saint-Nazaire. (Source : https://fr.wikipedia.org/wiki/Saint-Marc-sur-Mer)","Saint-Nazaire (Loire-Atlantique) [d3ntix7svg-1wlm82w7ivycm]","http://www.wikidata.org/entity/Q3462860","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m08zqqqko-t7wzzpwitwza","d3m08zqqqko-t7wzzpwitwza","Saint-Maur (Val-de-Marne, abbaye de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08zspi81--qd1cic89lfpg","d3m08zspi81--qd1cic89lfpg","Saint-Maur (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d-8mv449hzv-7d0jz074kyex","d-8mv449hzv-7d0jz074kyex","Saint-Maurice, pont (Bretagne ; pont)",,"pont","Le pont Saint-Maurice est un pont enjambant la Laïta et reliant Guidel (Morbihan) à Clohars-Carnoët (Finistère). (Source : https://fr.wikipedia.org/wiki/Pont_Saint-Maurice )",,"http://www.wikidata.org/entity/Q3396732","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d5bdpjplia--m4adwq9y64xz","d5bdpjplia--m4adwq9y64xz","Saint-Maurice-l'Ardoise (Gard,camp)",,"aménagement ou construction",,"Gard (Languedoc-Roussillon, département) [d3ntb7qeqo--1c0rjakf6f1n8]",,
"place/FRAN_RI_005-d-1g85e4x0o--18chs38vqfump","d-1g85e4x0o--18chs38vqfump","Saint-Michel de Frigolet, abbaye de (Tarascon ; abbaye)",,"abbaye","L’abbaye Saint-Michel de Frigolet est une abbaye de chanoines prémontrés, située près de Tarascon à l'intérieur de la Montagnette, dans le département des Bouches-du-Rhône. (Source : https://fr.wikipedia.org/wiki/Abbaye_Saint-Michel_de_Frigolet )","Tarascon (Bouches-du-Rhône) [d3nte4tljn-1tloluqft6krx]","http://www.wikidata.org/entity/Q490364 | https://sws.geonames.org/2977993/","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08zbkfn3--uvn7zpn1xecx","d3m08zbkfn3--uvn7zpn1xecx","Saint-Michel-de-la-Cluse (Italie, abbaye de)",,"aménagement ou construction",,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zq9gm7--lwornk0g6ydd","d3m08zq9gm7--lwornk0g6ydd","Saint-Ouen (Seine-Saint-Denis, château de)",,"aménagement ou construction",,"Seine-Saint-Denis (Ile-de-France, département) [d3ntb8t74v--1wxzypxi8r7lm]",,
"place/FRAN_RI_005-d3m08zg6jjn-14bgqgup6tkjn","d3m08zg6jjn-14bgqgup6tkjn","Saint-Philibert de Tournus (Saône-et-Loire, abbaye)",,"aménagement ou construction",,"Saône-et-Loire (Bourgogne, département) [d3ntb8p5ms-l4smwbm63dp5]",,
"place/FRAN_RI_005-d-9wciradqh--le4ic9qytha3","d-9wciradqh--le4ic9qytha3","Saint-Quentin, canal de ( France ; canal)",,"canal","Le canal de Saint-Quentin, long de 92,5 km, assure la jonction entre l'Oise, la Somme et l'Escaut et met en relation le Bassin parisien, le Nord de la France et la Belgique. (Source : https://fr.wikipedia.org/wiki/Canal_de_Saint-Quentin)","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q1032591",
